,WorldRank,Institution,Country,Nationa Rank,Total Score,Score Q1,Score CNCI,Score IC,Score TOP,Score Award,Subject,Year
247,201-300,Semnan University,../Iran,7-8,,24.0,68.2,45.4,14.0,0,Civil Engineering,2020
248,201-300,Shandong University of Science and Technology,../China,36-54,,16.7,89.5,55.1,0,0,Civil Engineering,2020
249,201-300,Sichuan University,../China,36-54,,36.1,67.8,65.7,0,0,Civil Engineering,2020
250,201-300,Sun Yat-sen University,../China,36-54,,35.0,80.6,70.9,0,0,Civil Engineering,2020
251,201-300,Technical University of Braunschweig,../Germany,3-4,,26.8,65.1,80.0,14.0,0,Civil Engineering,2020
252,201-300,Technion-Israel Institute of Technology,../Israel,1,,29.8,66.3,67.4,19.8,0,Civil Engineering,2020
253,201-300,Texas Tech University,../UnitedStates,51-67,,24.0,55.4,72.3,31.3,0,Civil Engineering,2020
254,201-300,The Ohio State University - Columbus,../UnitedStates,51-67,,27.1,77.9,59.0,0,0,Civil Engineering,2020
255,201-300,The University of Alabama - Tuscaloosa,../UnitedStates,51-67,,24.9,67.8,62.6,24.3,0,Civil Engineering,2020
256,201-300,"The University of Newcastle, Australia",../Australia,18-19,,27.1,73.9,77.1,14.0,0,Civil Engineering,2020
257,201-300,The University of Reading,../UnitedKingdom,18-24,,23.3,76.1,76.9,0,0,Civil Engineering,2020
258,201-300,The University of Texas at Arlington,../UnitedStates,51-67,,21.0,52.6,62.3,28.0,0,Civil Engineering,2020
259,201-300,Trinity College Dublin,../Ireland,1-2,,24.3,63.9,83.9,19.8,0,Civil Engineering,2020
260,201-300,Universidade da Coruna,../Spain,4-6,,31.2,66.6,57.1,19.8,0,Civil Engineering,2020
261,201-300,Universiti Teknologi Malaysia,../Malaysia,2-3,,37.4,76.2,81.4,0,0,Civil Engineering,2020
262,201-300,University College Dublin,../Ireland,1-2,,27.0,77.2,85.8,0,0,Civil Engineering,2020
263,201-300,University of Arizona,../UnitedStates,51-67,,32.7,68.0,82.3,0,0,Civil Engineering,2020
264,201-300,University of Aveiro,../Portugal,6,,30.5,72.4,76.0,0,0,Civil Engineering,2020
265,201-300,University of Birmingham,../UnitedKingdom,18-24,,31.8,70.0,83.3,0,0,Civil Engineering,2020
266,201-300,University of Calabria,../Italy,15-19,,25.5,85.5,58.9,0,0,Civil Engineering,2020
267,201-300,University of Cantabria,../Spain,4-6,,32.9,76.4,71.2,0,0,Civil Engineering,2020
268,201-300,University of Chile,../Chile,1-2,,25.5,65.9,76.2,14.0,0,Civil Engineering,2020
269,201-300,University of Cincinnati,../UnitedStates,51-67,,19.1,61.0,65.5,28.0,0,Civil Engineering,2020
270,201-300,University of Delaware,../UnitedStates,51-67,,22.5,61.3,72.6,19.8,0,Civil Engineering,2020
271,201-300,University of Exeter,../UnitedKingdom,18-24,,32.1,75.2,86.1,0,0,Civil Engineering,2020
272,201-300,University of Florence,../Italy,15-19,,23.5,87.9,55.5,0,0,Civil Engineering,2020
273,201-300,University of Granada,../Spain,4-6,,35.4,60.9,58.9,14.0,0,Civil Engineering,2020
274,201-300,University of Guilan,../Iran,7-8,,27.3,81.3,48.8,0,0,Civil Engineering,2020
275,201-300,University of Iowa,../UnitedStates,51-67,,21.0,68.7,67.7,24.3,0,Civil Engineering,2020
276,201-300,University of Kansas,../UnitedStates,51-67,,20.3,61.8,66.8,24.3,0,Civil Engineering,2020
277,201-300,University of Liege,../Belgium,3,,29.3,67.6,84.4,14.0,0,Civil Engineering,2020
278,201-300,University of Lille,../France,2-6,,26.6,64.5,80.6,14.0,0,Civil Engineering,2020
279,201-300,University of Ljubljana,../Slovenia,1,,28.5,72.1,62.5,14.0,0,Civil Engineering,2020
280,201-300,University of Massachusetts Amherst,../UnitedStates,51-67,,25.9,64.5,52.6,28.0,0,Civil Engineering,2020
281,201-300,University of Nebraska - Lincoln,../UnitedStates,51-67,,31.7,58.0,66.7,19.8,0,Civil Engineering,2020
282,201-300,University of Oxford,../UnitedKingdom,18-24,,28.0,80.1,85.5,0,0,Civil Engineering,2020
283,201-300,Paris-Saclay University,../France,2-6,,33.6,68.4,70.9,0,0,Civil Engineering,2020
284,201-300,University of Salerno,../Italy,15-19,,25.9,88.1,56.9,0,0,Civil Engineering,2020
285,201-300,University of Sao Paulo,../Brazil,1-2,,39.0,62.3,66.0,0,0,Civil Engineering,2020
286,201-300,University of Saskatchewan,../Canada,15-16,,25.1,68.6,80.0,14.0,0,Civil Engineering,2020
287,201-300,University of Science and Technology Beijing,../China,36-54,,28.2,72.8,65.4,14.0,0,Civil Engineering,2020
288,201-300,University of Science and Technology of China,../China,36-54,,27.5,87.3,57.4,0,0,Civil Engineering,2020
289,201-300,University of Tasmania,../Australia,18-19,,20.7,71.5,75.8,14.0,0,Civil Engineering,2020
290,201-300,University of Twente,../Netherlands,3,,26.1,74.9,80.8,0,0,Civil Engineering,2020
291,201-300,University of Wisconsin - Madison,../UnitedStates,51-67,,25.3,61.3,65.9,14.0,0,Civil Engineering,2020
292,201-300,Utah State University,../UnitedStates,51-67,,21.9,65.5,62.4,19.8,0,Civil Engineering,2020
293,201-300,Vienna University of Technology,../Austria,1,,34.0,70.1,65.9,0,0,Civil Engineering,2020
294,201-300,Waseda University,../Japan,5-6,,18.0,65.7,78.2,24.3,0,Civil Engineering,2020
295,201-300,Xi'an Jiaotong University,../China,36-54,,31.1,65.4,59.5,14.0,0,Civil Engineering,2020
296,201-300,Xi'an University of Technology,../China,36-54,,27.0,80.2,52.4,0,0,Civil Engineering,2020
297,201-300,Yildiz Technical University,../Turkey,1-3,,25.9,63.4,55.0,24.3,0,Civil Engineering,2020
298,201-300,Yonsei University,../SouthKorea,5-7,,38.7,64.9,51.1,0,0,Civil Engineering,2020
299,201-300,Zhejiang University of Technology,../China,36-54,,21.6,64.0,58.1,24.3,0,Civil Engineering,2020
0,1,Massachusetts Institute of Technology (MIT),../UnitedStates,1,325.6,50.9,92.1,78.3,66.9,100.0,Chemical Engineering,2020
1,2,Stanford University,../UnitedStates,2,278.0,42.4,100.0,72.6,47.7,73.4,Chemical Engineering,2020
2,3,Tsinghua University,../China,1,272.7,100.0,81.7,58.2,79.3,0,Chemical Engineering,2020
3,4,Tianjin University,../China,2,266.7,91.9,74.4,46.1,91.1,0,Chemical Engineering,2020
4,5,Georgia Institute of Technology,../UnitedStates,3,256.4,48.1,83.2,75.5,54.5,55.5,Chemical Engineering,2020
5,6,Zhejiang University,../China,3,256.3,84.1,73.2,51.2,88.7,0,Chemical Engineering,2020
6,7,The University of Texas at Austin,../UnitedStates,4,253.6,42.5,82.0,66.3,53.8,62.0,Chemical Engineering,2020
7,8,California Institute of Technology,../UnitedStates,5,253.1,25.6,100.0,74.4,39.3,73.4,Chemical Engineering,2020
8,9,"University of California, Berkeley",../UnitedStates,6,245.2,42.8,85.9,76.8,45.7,55.5,Chemical Engineering,2020
9,10,Beijing University of Chemical Technology,../China,4,244.8,66.2,69.8,43.9,100.0,0,Chemical Engineering,2020
10,11,East China University of Science and Technology,../China,5,240.5,77.1,66.5,44.8,87.9,0,Chemical Engineering,2020
11,12,South China University of Technology,../China,6,239.2,73.6,84.7,53.1,70.3,0,Chemical Engineering,2020
12,13,University of Colorado at Boulder,../UnitedStates,7,236.5,26.4,74.7,69.0,25.6,96.1,Chemical Engineering,2020
13,14,National University of Singapore,../Singapore,1,234.3,63.9,93.5,78.5,61.2,0,Chemical Engineering,2020
14,15,Princeton University,../UnitedStates,8,233.7,37.5,86.9,81.2,31.1,62.0,Chemical Engineering,2020
15,16,Nanyang Technological University,../Singapore,2,229.9,61.3,100.0,88.3,50.9,0,Chemical Engineering,2020
16,17,ETH Zurich,../Switzerland,1,224.8,45.9,73.3,79.4,50.5,39.2,Chemical Engineering,2020
17,18,University of Science and Technology of China,../China,7,223.2,67.8,87.7,51.9,57.3,0,Chemical Engineering,2020
18,19,Dalian University of Technology,../China,8,213.5,70.1,73.9,51.2,59.3,0,Chemical Engineering,2020
19,20,University of Delaware,../UnitedStates,9,211.4,29.0,73.9,71.3,32.3,62.0,Chemical Engineering,2020
20,21,Sichuan University,../China,9,210.3,56.1,75.7,45.4,69.5,0,Chemical Engineering,2020
21,22,Pennsylvania State University - University Park,../UnitedStates,10,208.1,47.4,77.2,77.1,40.3,27.7,Chemical Engineering,2020
22,22,Shanghai Jiao Tong University,../China,10,208.1,62.6,77.7,52.3,57.3,0,Chemical Engineering,2020
23,24,North Carolina State University - Raleigh,../UnitedStates,11,207.3,35.1,72.2,76.9,29.1,55.5,Chemical Engineering,2020
24,25,Imperial College London,../UnitedKingdom,1,205.9,54.0,80.3,80.1,55.6,0,Chemical Engineering,2020
25,26,Swiss Federal Institute of Technology Lausanne,../Switzerland,2,203.8,35.4,100.0,82.4,52.0,0,Chemical Engineering,2020
26,27,"University of Minnesota, Twin Cities",../UnitedStates,12,199.6,35.7,71.5,72.3,38.8,39.2,Chemical Engineering,2020
27,28,China University of Petroleum - Beijing,../China,11,199.4,63.6,64.5,52.0,60.9,0,Chemical Engineering,2020
28,29,Xi'an Jiaotong University,../China,12,199.0,62.3,76.5,50.7,50.1,0,Chemical Engineering,2020
29,30,Huazhong University of Science and Technology,../China,13,198.5,65.7,83.1,51.9,39.3,0,Chemical Engineering,2020
30,30,University of Wisconsin - Madison,../UnitedStates,13,198.5,36.3,81.2,74.8,38.3,27.7,Chemical Engineering,2020
31,32,NanJing Tech University,../China,14,197.6,56.9,71.2,52.6,58.9,0,Chemical Engineering,2020
32,33,King Abdulaziz University,../SaudiArabia,1,196.2,48.5,95.0,96.2,33.5,0,Chemical Engineering,2020
33,34,Soochow University (China),../China,15,196.1,43.0,99.1,71.0,39.8,0,Chemical Engineering,2020
34,35,King Abdullah University of Science and Technology,../SaudiArabia,2,195.3,54.7,89.7,92.8,32.3,0,Chemical Engineering,2020
35,36,Technical University of Denmark,../Denmark,1,194.9,52.4,72.6,82.4,53.5,0,Chemical Engineering,2020
36,37,Nanjing University,../China,16,193.2,48.9,93.8,46.3,41.2,0,Chemical Engineering,2020
37,38,Cornell University,../UnitedStates,14,192.4,29.9,80.9,72.9,27.8,39.2,Chemical Engineering,2020
38,39,Northwestern University,../UnitedStates,15,191.8,30.2,100.0,65.2,48.5,0,Chemical Engineering,2020
39,40,Hunan University,../China,17,190.3,47.8,100.0,54.4,31.7,0,Chemical Engineering,2020
40,41,Carnegie Mellon University,../UnitedStates,16,189.8,33.6,73.5,80.8,38.8,27.7,Chemical Engineering,2020
41,42,Jiangsu University,../China,18,188.8,52.3,96.6,44.4,31.1,0,Chemical Engineering,2020
42,43,Harbin Institute of Technology,../China,19,188.0,66.4,82.4,54.0,28.5,0,Chemical Engineering,2020
43,44,Rice University,../UnitedStates,17,187.3,21.0,73.1,80.0,29.1,48.0,Chemical Engineering,2020
44,45,Monash University,../Australia,1,186.8,53.1,76.8,85.4,39.8,0,Chemical Engineering,2020
45,46,Fuzhou University,../China,20,185.8,44.0,93.6,47.3,38.8,0,Chemical Engineering,2020
46,47,KU Leuven,../Belgium,1,185.6,47.5,83.1,88.6,37.3,0,Chemical Engineering,2020
47,47,University of Chicago,../UnitedStates,18,185.6,36.3,91.2,66.3,44.8,0,Chemical Engineering,2020
48,47,Wuhan University of Technology,../China,21,185.6,42.6,100.0,65.7,29.8,0,Chemical Engineering,2020
49,50,University of Oxford,../UnitedKingdom,2,184.9,30.7,100.0,89.7,36.2,0,Chemical Engineering,2020
50,51-75,Central South University,../China,22-30,,50.8,87.0,45.7,35.7,0,Chemical Engineering,2020
51,51-75,China University of Petroleum (Huadong),../China,22-30,,55.4,66.0,54.9,46.5,0,Chemical Engineering,2020
52,51-75,Chongqing University,../China,22-30,,46.1,78.2,48.1,42.6,0,Chemical Engineering,2020
53,51-75,City University of Hong Kong,../China-HongKong,1-2,,33.3,99.8,64.4,29.1,0,Chemical Engineering,2020
54,51-75,Curtin University,../Australia,2-3,,49.0,78.4,83.2,32.3,0,Chemical Engineering,2020
55,51-75,Delft University of Technology,../Netherlands,1,,48.4,68.8,82.8,46.1,0,Chemical Engineering,2020
56,51-75,Peking University,../China,22-30,,38.5,88.7,55.2,36.2,0,Chemical Engineering,2020
57,51-75,Polytechnic University of Milan,../Italy,1,,42.2,80.4,74.5,41.7,0,Chemical Engineering,2020
58,51-75,RWTH Aachen University,../Germany,1,,46.1,76.1,69.1,37.3,0,Chemical Engineering,2020
59,51-75,Seoul National University,../SouthKorea,1-2,,46.4,72.1,46.1,50.1,0,Chemical Engineering,2020
60,51-75,Sun Yat-sen University,../China,22-30,,42.5,86.1,53.1,37.3,0,Chemical Engineering,2020
61,51-75,Texas A&M University,../UnitedStates,19-22,,44.6,71.0,76.5,50.9,0,Chemical Engineering,2020
62,51-75,The Hong Kong University of Science and Technology,../China-HongKong,1-2,,34.5,87.8,63.7,46.1,0,Chemical Engineering,2020
63,51-75,The University of New South Wales,../Australia,2-3,,51.5,78.9,80.0,31.7,0,Chemical Engineering,2020
64,51-75,Tongji University,../China,22-30,,53.0,81.4,55.8,31.7,0,Chemical Engineering,2020
65,51-75,Ulsan National Institute of Science and Technology,../SouthKorea,1-2,,31.1,95.8,58.4,38.3,0,Chemical Engineering,2020
66,51-75,University of Alberta,../Canada,1-2,,50.9,61.8,72.4,48.9,0,Chemical Engineering,2020
67,51-75,University of Cambridge,../UnitedKingdom,3,,46.8,78.9,81.5,42.6,0,Chemical Engineering,2020
68,51-75,University of Michigan-Ann Arbor,../UnitedStates,19-22,,39.5,86.5,75.4,34.6,0,Chemical Engineering,2020
69,51-75,University of Notre Dame,../UnitedStates,19-22,,19.6,78.7,71.2,24.1,48.0,Chemical Engineering,2020
70,51-75,University of Tennessee - Knoxville,../UnitedStates,19-22,,30.6,100.0,68.7,31.1,0,Chemical Engineering,2020
71,51-75,University of Waterloo,../Canada,1-2,,38.9,70.7,81.3,50.5,0,Chemical Engineering,2020
72,51-75,Wuhan University,../China,22-30,,40.7,97.6,51.8,28.5,0,Chemical Engineering,2020
73,51-75,Xiamen University,../China,22-30,,42.8,79.1,59.0,42.6,0,Chemical Engineering,2020
74,51-75,Zhejiang University of Technology,../China,22-30,,43.3,74.5,55.9,50.9,0,Chemical Engineering,2020
75,76-100,Beijing Institute of Technology,../China,31-37,,46.8,76.6,46.4,37.3,0,Chemical Engineering,2020
76,76-100,Colorado School of Mines,../UnitedStates,23-26,,31.9,86.1,72.1,32.9,0,Chemical Engineering,2020
77,76-100,Eindhoven University of Technology,../Netherlands,2,,49.1,71.8,77.4,36.8,0,Chemical Engineering,2020
78,76-100,Fudan University,../China,31-37,,36.3,89.1,51.6,30.4,0,Chemical Engineering,2020
79,76-100,Ghent University,../Belgium,2,,44.3,71.0,85.2,37.3,0,Chemical Engineering,2020
80,76-100,Hanyang University,../SouthKorea,3-6,,44.4,78.9,63.1,28.5,0,Chemical Engineering,2020
81,76-100,Khalifa University,../UnitedArabEmirates,1,,39.0,70.8,90.6,38.3,0,Chemical Engineering,2020
82,76-100,King Saud University,../SaudiArabia,3,,34.7,83.9,96.2,24.9,0,Chemical Engineering,2020
83,76-100,Korea University,../SouthKorea,3-6,,49.9,73.7,52.0,32.3,0,Chemical Engineering,2020
84,76-100,Nankai University,../China,31-37,,41.4,91.1,44.2,24.1,0,Chemical Engineering,2020
85,76-100,National Taiwan University,../China-Taiwan,1,,44.2,63.9,62.6,44.4,0,Chemical Engineering,2020
86,76-100,North China Electric Power University,../China,31-37,,44.9,88.4,68.0,24.1,0,Chemical Engineering,2020
87,76-100,Norwegian University of Science and Technology - NTNU,../Norway,1,,43.2,66.1,76.3,40.7,0,Chemical Engineering,2020
88,76-100,Pohang University of Science and Technology,../SouthKorea,3-6,,33.0,89.3,63.5,35.1,0,Chemical Engineering,2020
89,76-100,Shandong University,../China,31-37,,50.4,80.0,46.8,33.5,0,Chemical Engineering,2020
90,76-100,Southeast University,../China,31-37,,53.4,68.1,52.4,36.8,0,Chemical Engineering,2020
91,76-100,Sungkyunkwan University,../SouthKorea,3-6,,43.9,76.1,56.6,31.7,0,Chemical Engineering,2020
92,76-100,Taiyuan University of Technology,../China,31-37,,48.6,73.8,52.6,30.4,0,Chemical Engineering,2020
93,76-100,The Hong Kong Polytechnic University,../China-HongKong,3,,40.2,93.6,50.7,27.8,0,Chemical Engineering,2020
94,76-100,The University of Queensland,../Australia,4,,48.5,72.7,78.3,29.8,0,Chemical Engineering,2020
95,76-100,University College London,../UnitedKingdom,4,,39.5,74.6,79.2,37.3,0,Chemical Engineering,2020
96,76-100,University of Connecticut,../UnitedStates,23-26,,33.4,94.4,74.0,24.1,0,Chemical Engineering,2020
97,76-100,University of Illinois at Urbana-Champaign,../UnitedStates,23-26,,32.3,72.6,78.9,22.4,27.7,Chemical Engineering,2020
98,76-100,University of Nebraska - Lincoln,../UnitedStates,23-26,,21.5,100.0,82.1,24.9,0,Chemical Engineering,2020
99,76-100,University of Porto,../Portugal,1,,43.4,72.1,73.0,41.2,0,Chemical Engineering,2020
100,76-100,University of the Basque Country,../Spain,1,,38.8,79.4,63.3,37.8,0,Chemical Engineering,2020
101,101-150,Aalto University,../Finland,1,,36.7,65.4,78.7,38.3,0,Chemical Engineering,2020
102,101-150,Arizona State University,../UnitedStates,27-34,,28.8,81.5,79.0,32.9,0,Chemical Engineering,2020
103,101-150,Beihang University,../China,38-53,,32.5,79.7,62.9,27.8,0,Chemical Engineering,2020
104,101-150,Chalmers University of Technology,../Sweden,1-2,,43.0,68.7,67.2,34.0,0,Chemical Engineering,2020
105,101-150,China University of Mining and Technology - Xuzhou,../China,38-53,,57.5,70.9,50.2,17.6,0,Chemical Engineering,2020
106,101-150,Columbia University,../UnitedStates,27-34,,25.1,89.2,83.5,23.2,0,Chemical Engineering,2020
107,101-150,Donghua University,../China,38-53,,34.7,76.3,59.0,32.9,0,Chemical Engineering,2020
108,101-150,Griffith University,../Australia,5-6,,22.2,95.8,94.7,13.9,0,Chemical Engineering,2020
109,101-150,Guangdong University of Technology,../China,38-53,,30.4,91.1,62.3,21.5,0,Chemical Engineering,2020
110,101-150,Guangxi University,../China,38-53,,29.5,83.2,51.6,27.1,0,Chemical Engineering,2020
111,101-150,Islamic Azad University,../Iran,1,,51.3,65.3,50.0,26.4,0,Chemical Engineering,2020
112,101-150,Jilin University,../China,38-53,,42.8,78.5,44.1,23.2,0,Chemical Engineering,2020
113,101-150,Karlsruhe Institute of Technology (KIT),../Germany,2-3,,44.3,65.4,61.6,33.5,0,Chemical Engineering,2020
114,101-150,King Fahd University of Petroleum & Minerals,../SaudiArabia,4,,38.5,78.1,77.9,24.9,0,Chemical Engineering,2020
115,101-150,Korea Advanced Institute of Science and Technology,../SouthKorea,7-8,,42.8,68.9,52.7,37.8,0,Chemical Engineering,2020
116,101-150,KTH Royal Institute of Technology,../Sweden,1-2,,40.5,74.3,85.8,28.5,0,Chemical Engineering,2020
117,101-150,Lanzhou University,../China,38-53,,37.2,81.8,32.7,27.1,0,Chemical Engineering,2020
118,101-150,Nanjing University of Science and Technology,../China,38-53,,38.1,73.4,33.8,39.8,0,Chemical Engineering,2020
119,101-150,Purdue University - West Lafayette,../UnitedStates,27-34,,42.1,67.3,62.4,36.2,0,Chemical Engineering,2020
120,101-150,Qingdao University of Science and Technology,../China,38-53,,34.4,77.8,40.9,34.0,0,Chemical Engineering,2020
121,101-150,Shaanxi Normal University,../China,38-53,,24.2,91.5,47.1,25.6,0,Chemical Engineering,2020
122,101-150,Shandong University of Science and Technology,../China,38-53,,29.2,97.7,43.8,26.4,0,Chemical Engineering,2020
123,101-150,Shanghai University,../China,38-53,,35.8,79.2,53.7,25.6,0,Chemical Engineering,2020
124,101-150,Shenzhen University,../China,38-53,,24.6,100.0,55.9,18.6,0,Chemical Engineering,2020
125,101-150,Swansea University,../UnitedKingdom,5-7,,22.0,92.4,92.4,19.6,0,Chemical Engineering,2020
126,101-150,The Ohio State University - Columbus,../UnitedStates,27-34,,31.8,77.0,70.9,28.5,0,Chemical Engineering,2020
127,101-150,The University of Calgary,../Canada,3-5,,43.8,61.4,73.9,38.8,0,Chemical Engineering,2020
128,101-150,The University of Hong Kong,../China-HongKong,4,,30.3,90.0,76.1,16.4,0,Chemical Engineering,2020
129,101-150,The University of Manchester,../UnitedKingdom,5-7,,35.4,69.8,85.1,38.3,0,Chemical Engineering,2020
130,101-150,The University of Tokyo,../Japan,1-2,,38.1,65.1,67.7,35.1,0,Chemical Engineering,2020
131,101-150,Tiangong University,../China,38-53,,40.1,76.9,51.6,31.1,0,Chemical Engineering,2020
132,101-150,Tohoku University,../Japan,1-2,,38.0,70.2,70.1,27.8,0,Chemical Engineering,2020
133,101-150,Universiti Teknologi Malaysia,../Malaysia,1,,44.0,73.5,78.0,23.2,0,Chemical Engineering,2020
134,101-150,University of Aveiro,../Portugal,2-3,,34.0,77.0,81.5,25.6,0,Chemical Engineering,2020
135,101-150,University of Cincinnati,../UnitedStates,27-34,,27.9,100.0,83.3,17.6,0,Chemical Engineering,2020
136,101-150,University of Erlangen-Nuremberg,../Germany,2-3,,33.3,68.0,60.8,37.8,0,Chemical Engineering,2020
137,101-150,University of Leeds,../UnitedKingdom,5-7,,41.7,69.6,81.4,27.8,0,Chemical Engineering,2020
138,101-150,University of Lisbon,../Portugal,2-3,,38.8,69.4,73.6,29.1,0,Chemical Engineering,2020
139,101-150,University of Lorraine,../France,1,,39.7,67.4,76.9,27.8,0,Chemical Engineering,2020
140,101-150,"University of Maryland, College Park",../UnitedStates,27-34,,34.2,82.2,65.7,24.9,0,Chemical Engineering,2020
141,101-150,University of Ottawa,../Canada,3-5,,32.4,81.5,81.0,20.6,0,Chemical Engineering,2020
142,101-150,University of Science and Technology Beijing,../China,38-53,,40.6,72.7,48.9,32.3,0,Chemical Engineering,2020
143,101-150,University of Technology Sydney,../Australia,5-6,,35.9,91.6,96.0,8.8,0,Chemical Engineering,2020
144,101-150,University of Toronto,../Canada,3-5,,33.9,72.0,77.2,32.3,0,Chemical Engineering,2020
145,101-150,University of Twente,../Netherlands,3,,37.5,75.1,76.6,34.0,0,Chemical Engineering,2020
146,101-150,Washington State University,../UnitedStates,27-34,,35.3,78.6,84.2,25.6,0,Chemical Engineering,2020
147,101-150,Yale University,../UnitedStates,27-34,,28.0,94.7,65.3,19.6,0,Chemical Engineering,2020
148,101-150,Yonsei University,../SouthKorea,7-8,,42.1,69.9,54.2,35.1,0,Chemical Engineering,2020
149,101-150,Zhengzhou University,../China,38-53,,33.6,85.0,49.8,27.1,0,Chemical Engineering,2020
150,151-200,Amirkabir University of Technology,../Iran,2,,37.3,60.5,45.9,36.8,0,Chemical Engineering,2020
151,151-200,Beijing Normal University,../China,54-65,,29.7,84.7,57.2,18.6,0,Chemical Engineering,2020
152,151-200,Beijing University of Technology,../China,54-65,,35.2,78.3,50.2,19.6,0,Chemical Engineering,2020
153,151-200,Cardiff University,../UnitedKingdom,8-12,,30.2,85.3,79.1,17.6,0,Chemical Engineering,2020
154,151-200,Changzhou University,../China,54-65,,27.8,74.4,47.8,34.6,0,Chemical Engineering,2020
155,151-200,China University of Geosciences (Beijing),../China,54-65,,36.1,83.8,53.6,17.6,0,Chemical Engineering,2020
156,151-200,Chung Yuan Christian University,../China-Taiwan,2,,31.9,77.1,80.3,21.5,0,Chemical Engineering,2020
157,151-200,Claude Bernard University Lyon 1,../France,2-4,,37.6,66.7,69.7,26.4,0,Chemical Engineering,2020
158,151-200,Guangzhou University,../China,54-65,,21.2,99.0,50.1,17.6,0,Chemical Engineering,2020
159,151-200,Jinan University,../China,54-65,,22.7,92.5,56.4,19.6,0,Chemical Engineering,2020
160,151-200,King Juan Carlos University,../Spain,2-4,,23.1,90.7,65.6,16.4,0,Chemical Engineering,2020
161,151-200,Kyoto University,../Japan,3,,37.0,63.7,59.0,31.1,0,Chemical Engineering,2020
162,151-200,Kyung Hee University,../SouthKorea,9-11,,32.9,77.1,55.0,21.5,0,Chemical Engineering,2020
163,151-200,Kyungpook National University,../SouthKorea,9-11,,32.5,76.6,60.6,21.5,0,Chemical Engineering,2020
164,151-200,Nanchang University,../China,54-65,,27.4,86.0,67.5,18.6,0,Chemical Engineering,2020
165,151-200,Paul Sabatier University (Toulouse 3),../France,2-4,,35.2,66.0,72.8,28.5,0,Chemical Engineering,2020
166,151-200,Polytechnic University of Turin,../Italy,2-4,,33.5,74.3,68.4,24.1,0,Chemical Engineering,2020
167,151-200,Polytechnic University of Valencia,../Spain,2-4,,41.4,69.7,71.8,17.6,0,Chemical Engineering,2020
168,151-200,Qatar University,../Qatar,1,,25.1,76.5,98.6,25.6,0,Chemical Engineering,2020
169,151-200,Qingdao University,../China,54-65,,21.7,100.0,52.6,17.6,0,Chemical Engineering,2020
170,151-200,Queensland University of Technology,../Australia,7-10,,25.7,90.4,77.2,16.4,0,Chemical Engineering,2020
171,151-200,South Central University For Nationalities,../China,54-65,,24.7,97.0,41.1,16.4,0,Chemical Engineering,2020
172,151-200,Southwest Petroleum University,../China,54-65,,35.4,65.7,47.1,32.9,0,Chemical Engineering,2020
173,151-200,Technical University of Munich,../Germany,4,,37.0,68.7,63.8,28.5,0,Chemical Engineering,2020
174,151-200,The University of Adelaide,../Australia,7-10,,31.7,78.5,81.5,17.6,0,Chemical Engineering,2020
175,151-200,The University of Melbourne,../Australia,7-10,,33.5,68.1,76.4,32.3,0,Chemical Engineering,2020
176,151-200,University of Bath,../UnitedKingdom,8-12,,28.1,80.5,79.7,20.6,0,Chemical Engineering,2020
177,151-200,University of Birmingham,../UnitedKingdom,8-12,,40.8,69.5,82.6,21.5,0,Chemical Engineering,2020
178,151-200,University of British Columbia,../Canada,6-9,,36.8,61.5,81.8,28.5,0,Chemical Engineering,2020
179,151-200,"University of California, Los Angeles",../UnitedStates,35-40,,27.9,72.1,71.4,32.9,0,Chemical Engineering,2020
180,151-200,University of CastillaâLa Mancha,../Spain,2-4,,32.9,72.2,74.4,23.2,0,Chemical Engineering,2020
181,151-200,University of Groningen,../Netherlands,4,,23.4,81.9,78.4,24.9,0,Chemical Engineering,2020
182,151-200,University of Houston,../UnitedStates,35-40,,27.3,77.8,65.9,27.8,0,Chemical Engineering,2020
183,151-200,University of Kentucky,../UnitedStates,35-40,,27.4,71.9,65.1,30.4,0,Chemical Engineering,2020
184,151-200,University of Malaya,../Malaysia,2,,37.5,66.1,79.9,29.1,0,Chemical Engineering,2020
185,151-200,University of Montpellier,../France,2-4,,35.4,71.8,83.4,22.4,0,Chemical Engineering,2020
186,151-200,University of Naples Federico II,../Italy,2-4,,38.1,69.6,63.4,28.5,0,Chemical Engineering,2020
187,151-200,University of Regina,../Canada,6-9,,28.3,69.6,80.4,33.5,0,Chemical Engineering,2020
188,151-200,University of Salerno,../Italy,2-4,,30.9,79.7,62.3,23.2,0,Chemical Engineering,2020
189,151-200,University of Saskatchewan,../Canada,6-9,,29.0,69.5,73.5,31.1,0,Chemical Engineering,2020
190,151-200,University of South Carolina - Columbia,../UnitedStates,35-40,,26.7,80.8,72.0,24.1,0,Chemical Engineering,2020
191,151-200,University of Surrey,../UnitedKingdom,8-12,,27.4,70.1,87.9,27.8,0,Chemical Engineering,2020
192,151-200,University of Sydney,../Australia,7-10,,33.6,69.9,80.1,25.6,0,Chemical Engineering,2020
193,151-200,University of Warwick,../UnitedKingdom,8-12,,22.2,88.7,88.7,17.6,0,Chemical Engineering,2020
194,151-200,University of Washington,../UnitedStates,35-40,,19.5,89.2,73.2,24.9,0,Chemical Engineering,2020
195,151-200,Virginia Polytechnic Institute and State University,../UnitedStates,35-40,,31.1,76.6,69.9,27.8,0,Chemical Engineering,2020
196,151-200,Western University,../Canada,6-9,,34.8,65.0,76.9,31.1,0,Chemical Engineering,2020
